Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2017,2017,Export,USA,Turks and Caicos Isds,Beer made from malt,2203,1285788
2017,2017,Export,USA,Ukraine,Beer made from malt,2203,10570
2017,2017,Export,USA,United Kingdom,Beer made from malt,2203,37812549
2017,2017,Export,USA,Uruguay,Beer made from malt,2203,3019538
2017,2017,Export,USA,Venezuela,Beer made from malt,2203,2700
2013,2013,Export,USA,Antigua and Barbuda,Beer made from malt,2203,7998
2013,2013,Export,USA,Australia,Beer made from malt,2203,14988972
2013,2013,Export,USA,Austria,Beer made from malt,2203,40680
2013,2013,Export,USA,Bahamas,Beer made from malt,2203,2934890
2013,2013,Export,USA,Bahrain,Beer made from malt,2203,334952
2013,2013,Export,USA,Bangladesh,Beer made from malt,2203,76364
2013,2013,Export,USA,Barbados,Beer made from malt,2203,67492
2013,2013,Export,USA,Belgium,Beer made from malt,2203,124441
2013,2013,Export,USA,Bermuda,Beer made from malt,2203,1192984
2013,2013,Export,USA,Bolivia (Plurinational State of),Beer made from malt,2203,28297
2013,2013,Export,USA,Brazil,Beer made from malt,2203,1836064
2013,2013,Export,USA,Belize,Beer made from malt,2203,258367
2013,2013,Export,USA,Solomon Isds,Beer made from malt,2203,43355
2013,2013,Export,USA,Br. Virgin Isds,Beer made from malt,2203,1109669
2013,2013,Export,USA,Myanmar,Beer made from malt,2203,4175
2013,2013,Export,USA,Cambodia,Beer made from malt,2203,365419
2013,2013,Export,USA,Canada,Beer made from malt,2203,163694585
2013,2013,Export,USA,Cayman Isds,Beer made from malt,2203,1534449
2013,2013,Export,USA,Chile,Beer made from malt,2203,41245129
2013,2013,Export,USA,China,Beer made from malt,2203,9311349
2013,2013,Export,USA,Colombia,Beer made from malt,2203,4454897
2013,2013,Export,USA,Cook Isds,Beer made from malt,2203,48775
2013,2013,Export,USA,Costa Rica,Beer made from malt,2203,2332620
2013,2013,Export,USA,Cyprus,Beer made from malt,2203,69216
2013,2013,Export,USA,Benin,Beer made from malt,2203,14898
2013,2013,Export,USA,Denmark,Beer made from malt,2203,1716885
2013,2013,Export,USA,Dominican Rep.,Beer made from malt,2203,3311221
2013,2013,Export,USA,Ecuador,Beer made from malt,2203,1575213
2013,2013,Export,USA,El Salvador,Beer made from malt,2203,874848
2013,2013,Export,USA,Equatorial Guinea,Beer made from malt,2203,4000
2013,2013,Export,USA,Ethiopia,Beer made from malt,2203,10276
2013,2013,Export,USA,Fiji,Beer made from malt,2203,67192
2013,2013,Export,USA,Finland,Beer made from malt,2203,603065
2013,2013,Export,USA,France,Beer made from malt,2203,460163
2013,2013,Export,USA,French Polynesia,Beer made from malt,2203,116728
2013,2013,Export,USA,Germany,Beer made from malt,2203,1068302
2013,2013,Export,USA,Kiribati,Beer made from malt,2203,38800
2013,2013,Export,USA,Greece,Beer made from malt,2203,72685
2013,2013,Export,USA,Guatemala,Beer made from malt,2203,1550138
2013,2013,Export,USA,Guinea,Beer made from malt,2203,14541
2013,2013,Export,USA,Haiti,Beer made from malt,2203,29580
2013,2013,Export,USA,Honduras,Beer made from malt,2203,7743157
2013,2013,Export,USA,"China, Hong Kong SAR",Beer made from malt,2203,2388746
2013,2013,Export,USA,Iceland,Beer made from malt,2203,15585
2013,2013,Export,USA,Ireland,Beer made from malt,2203,742591
2013,2013,Export,USA,Israel,Beer made from malt,2203,327813
2013,2013,Export,USA,Italy,Beer made from malt,2203,2084999
2013,2013,Export,USA,Côte d'Ivoire,Beer made from malt,2203,28028
2013,2013,Export,USA,Jamaica,Beer made from malt,2203,89114
2013,2013,Export,USA,Japan,Beer made from malt,2203,4302971
2013,2013,Export,USA,Jordan,Beer made from malt,2203,123602
2013,2013,Export,USA,Rep. of Korea,Beer made from malt,2203,6747382
2013,2013,Export,USA,Lebanon,Beer made from malt,2203,127727
2013,2013,Export,USA,Latvia,Beer made from malt,2203,80646
2013,2013,Export,USA,Liberia,Beer made from malt,2203,35402
2013,2013,Export,USA,Lithuania,Beer made from malt,2203,13977
2013,2013,Export,USA,Malaysia,Beer made from malt,2203,2151172
2013,2013,Export,USA,Malta,Beer made from malt,2203,121731
2013,2013,Export,USA,Mexico,Beer made from malt,2203,126837872
2013,2013,Export,USA,"Other Asia, nes",Beer made from malt,2203,8459601
2013,2013,Export,USA,Mongolia,Beer made from malt,2203,185750
