Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,320,Guatemala,GTM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,6107494,,6107494,,10430671,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,328,Guyana,GUY,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,718,,718,,8729,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,332,Haiti,HTI,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,9901,,9901,,14782,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,340,Honduras,HND,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,13702284,,13702284,,15702215,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1614602,,1614602,,2053883,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,352,Iceland,ISL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,84071,,84071,,115123,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,360,Indonesia,IDN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,23423,,23423,,61523,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,368,Iraq,IRQ,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,297504,,297504,,480000,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,372,Ireland,IRL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1182462,,1182462,,1786220,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,376,Israel,ISR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,175947,,175947,,168955,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,381,Italy,ITA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1489379,,1489379,,2848950,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,388,Jamaica,JAM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,156682,,156682,,223652,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,392,Japan,JPN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,4015917,,4015917,,6604748,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,398,Kazakhstan,KAZ,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,11447,,11447,,12136,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,400,Jordan,JOR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,71249,,71249,,130771,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,404,Kenya,KEN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,37758,,37758,,73877,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,22482148,,22482148,,28397671,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,414,Kuwait,KWT,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,309797,,309797,,309751,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,422,Lebanon,LBN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,150534,,150534,,308297,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,428,Latvia,LVA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,48968,,48968,,47280,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,440,Lithuania,LTU,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,59987,,59987,,107750,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,458,Malaysia,MYS,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,865933,,865933,,1378612,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,470,Malta,MLT,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,166358,,166358,,307597,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,484,Mexico,MEX,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,233218562,,233218562,,147659793,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,13739108,,13739108,,16459202,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,504,Morocco,MAR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,865842,,865842,,1527285,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,512,Oman,OMN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,239925,,239925,,318286,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,524,Nepal,NPL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,73849,,73849,,112383,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,3008775,,3008775,,5592073,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,531,Curaçao,CUW,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,2032977,,2032977,,3161731,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,533,Aruba,ABW,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1114166,,1114166,,1764288,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,534,Saint Maarten,SXM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1927890,,1927890,,1791024,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,554,New Zealand,NZL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1220515,,1220515,,1400362,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,558,Nicaragua,NIC,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,117006,,117006,,131215,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,579,Norway,NOR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,815344,,815344,,1555715,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,583,FS Micronesia,FSM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1272957,,1272957,,1282087,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,584,Marshall Isds,MHL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,26000,,26000,,27000,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,585,Palau,PLW,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1007163,,1007163,,1038570,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,591,Panama,PAN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,19270321,,19270321,,16832139,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,600,Paraguay,PRY,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,18463151,,18463151,,14614804,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,604,Peru,PER,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,75986,,75986,,93929,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,608,Philippines,PHL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,267690,,267690,,825603,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,11447,,11447,,12835,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,620,Portugal,PRT,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,3605,,3605,,5811,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,634,Qatar,QAT,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,442323,,442323,,576657,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1587833,,1587833,,1500908,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,659,Saint Kitts and Nevis,KNA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,13671,,13671,,30128,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,660,Anguilla,AIA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,127687,,127687,,102557,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,662,Saint Lucia,LCA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,27581,,27581,,36028,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,682,Saudi Arabia,SAU,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1113570,,1113570,,2183876,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,694,Sierra Leone,SLE,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,12200,,12200,,30000,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,14461,,14461,,42103,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,702,Singapore,SGP,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1880235,,1880235,,2526636,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,704,Viet Nam,VNM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,5221,,5221,,14246,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,710,South Africa,ZAF,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,363444,,363444,,607993,,,0
